iata,name,city,state,country,latitude,longitude
48329,Midland,,TX,US,31.86913691,-102.0315952
48439,Tarrant,,TX,US,32.771561,-97.29122712
48113,Dallas,,TX,US,32.76663248,-96.77787632
48135,Ector,,TX,US,31.8691863,-102.5428806
48317,Martin,,TX,US,32.30599109,-101.9512723
48227,Howard,,TX,US,32.30616438,-101.4355855
48389,Reeves,,TX,US,31.3230271,-103.6929792
48367,Parker,,TX,US,32.77765374,-97.80506519
48475,Ward,,TX,US,31.5094924,-103.1025014
48139,Ellis,,TX,US,32.34842574,-96.79450537
48173,Glasscock,,TX,US,31.86938032,-101.5207736
48461,Upton,,TX,US,31.36880187,-102.0431399
48257,Kaufman,,TX,US,32.59931225,-96.28778549
48441,Taylor,,TX,US,32.30144626,-99.89015137
48203,Harrison,,TX,US,32.54813741,-94.37146798
48495,Winkler,,TX,US,31.85006061,-103.0483407
48183,Gregg,,TX,US,32.48046859,-94.81695462
48251,Johnson,,TX,US,32.37901182,-97.36634841
48371,Pecos,,TX,US,30.78101027,-102.7235301
48383,Reagan,,TX,US,31.36611329,-101.5230926
48121,Denton,,TX,US,33.20524384,-97.11700783
48423,Smith,,TX,US,32.37503982,-95.26917607
48467,Van Zandt,,TX,US,32.56371228,-95.83650054
48353,Nolan,,TX,US,32.30352363,-100.4059875
48301,Loving,,TX,US,31.84927477,-103.5800104
48221,Hood,,TX,US,32.42995059,-97.83230556
48085,Collin,,TX,US,33.1879318,-96.57239128
22017,Caddo,,LA,US,32.58007092,-93.8823288
48103,Crane,,TX,US,31.42861673,-102.5155929
48133,Eastland,,TX,US,32.32707861,-98.83230264
35025,Lea,,NM,US,32.79210292,-103.4124726
48059,Callahan,,TX,US,32.297644,-99.37347936
48363,Palo Pinto,,TX,US,32.75315273,-98.31301535
48451,Tom Green,,TX,US,31.40444975,-100.462146
48335,Mitchell,,TX,US,32.30620153,-100.9211385
35015,Eddy,,NM,US,32.47148539,-104.3043076
48003,Andrews,,TX,US,32.30503031,-102.6377374
22015,Bossier,,LA,US,32.67892599,-93.60504359
48201,Harris,,TX,US,29.85773886,-95.39360995
48365,Panola,,TX,US,32.16235499,-94.30558828
48109,Culberson,,TX,US,31.44706881,-104.5173142
48401,Rusk,,TX,US,32.10772339,-94.76187637
48213,Henderson,,TX,US,32.21189862,-95.85359425
48397,Rockwall,,TX,US,32.89772963,-96.40778287
48143,Erath,,TX,US,32.23625257,-98.21794279
22031,De Soto,,LA,US,32.05543535,-93.73724616
48415,Scurry,,TX,US,32.74628268,-100.9164295
4.83E+04,McLennan,,TX,US,31.55237627,-97.20177966
4.82E+04,Fisher,,TX,US,32.7428132,-100.4021866
48303,Lubbock,,TX,US,33.61021105,-101.8205246
48141,El Paso,,TX,US,31.76857317,-106.234837
48349,Navarro,,TX,US,32.04692633,-96.47247526
48497,Wise,,TX,US,33.21591299,-97.6544743
48027,Bell,,TX,US,31.03766574,-97.47823822
48115,Dawson,,TX,US,32.74255537,-101.9476464
48453,Travis,,TX,US,30.33468592,-97.78195326
48253,Jones,,TX,US,32.73989346,-99.87875143
5099,Nevada,,AR,US,33.66396327,-93.30719906
48029,Bexar,,TX,US,29.44893847,-98.52000518
48231,Hunt,,TX,US,33.12358392,-96.08547687
48217,Hill,,TX,US,31.99067987,-97.13242892
48033,Borden,,TX,US,32.74363988,-101.4317174
48459,Upshur,,TX,US,32.73627012,-94.94147642
48491,Williamson,,TX,US,30.64803316,-97.60075125
22083,Richland,,LA,US,32.41780311,-91.76347507
48161,Freestone,,TX,US,31.70490445,-96.14908242
48485,Wichita,,TX,US,33.9879363,-98.70357145
48499,Wood,,TX,US,32.78640577,-95.38207509
22119,Webster,,LA,US,32.71346949,-93.33497408
22061,Lincoln,,LA,US,32.60161626,-92.66483583
48431,Sterling,,TX,US,31.82783193,-101.0500236
22065,Madison,,LA,US,32.36440307,-91.24262373
48105,Crockett,,TX,US,30.72308929,-101.4120493
48181,Grayson,,TX,US,33.62677605,-96.6777263
48235,Irion,,TX,US,31.30391434,-100.9823901
5125,Saline,,AR,US,34.64659516,-92.67652323
35023,Hidalgo,,NM,US,31.91403805,-108.7147774
48425,Somervell,,TX,US,32.22225654,-97.77435476
5019,Clark,,AR,US,34.05097067,-93.17636677
48223,Hopkins,,TX,US,33.1495544,-95.56395296
48165,Gaines,,TX,US,32.74075229,-102.6351781
5119,Pulaski,,AR,US,34.76994017,-92.31178372
48037,Bowie,,TX,US,33.44578126,-94.42335845
35013,Doña Ana,,NM,US,32.35264734,-106.8327815
48479,Webb,,TX,US,27.76111449,-99.33152013
22079,Rapides,,LA,US,31.19862998,-92.53318687
48339,Montgomery,,TX,US,30.300193,-95.50300218
48001,Anderson,,TX,US,31.8133186,-95.65253752
48243,Jeff Davis,,TX,US,30.71537552,-104.1399602
22073,Ouachita,,LA,US,32.47832375,-92.15486594
48289,Leon,,TX,US,31.29650397,-95.99569629
48471,Walker,,TX,US,30.73903097,-95.57229674
48503,Young,,TX,US,33.17662269,-98.68773492
35029,Luna,,NM,US,32.18222646,-107.7498081
48209,Hays,,TX,US,30.05814506,-98.03106419
48237,Jack,,TX,US,33.23346766,-98.17246749
40109,Oklahoma,,OK,US,35.55152282,-97.40720976
48315,Marion,,TX,US,32.79798609,-94.35717135
48337,Montague,,TX,US,33.6756831,-97.72463972
48417,Shackelford,,TX,US,32.73594855,-99.35404646
5035,Crittenden,,AR,US,35.20794386,-90.30883835
22081,Red River,,LA,US,32.09313295,-93.33986542
48049,Brown,,TX,US,31.77424858,-98.99978019
48159,Franklin,,TX,US,33.17552533,-95.2184343
48157,Fort Bend,,TX,US,29.52749688,-95.77089552
5123,St. Francis,,AR,US,35.02200956,-90.74776577
22013,Bienville,,LA,US,32.34717073,-93.05597977
48215,Hidalgo,,TX,US,26.39688287,-98.18120449
48419,Shelby,,TX,US,31.7924183,-94.14495987
48435,Sutton,,TX,US,30.49836828,-100.5381816
48041,Brazos,,TX,US,30.66080441,-96.30238878
48035,Bosque,,TX,US,31.9003849,-97.63433619
48073,Cherokee,,TX,US,31.8369674,-95.16518981
48207,Haskell,,TX,US,33.17823036,-99.73030384
22085,Sabine,,LA,US,31.56400056,-93.55459812
48091,Comal,,TX,US,29.80818633,-98.27827042
48347,Nacogdoches,,TX,US,31.61598401,-94.61586668
40019,Carter,,OK,US,34.2508433,-97.28580139
48097,Cooke,,TX,US,33.63926014,-97.21258729
48263,Kent,,TX,US,33.18131269,-100.7776243
5091,Miller,,AR,US,33.31209067,-93.89155271
48039,Brazoria,,TX,US,29.18965497,-95.45192577
48081,Coke,,TX,US,31.88860759,-100.5298803
48147,Fannin,,TX,US,33.59383164,-96.10686472
48229,Hudspeth,,TX,US,31.45623373,-105.3864675
22033,East Baton Rouge,,LA,US,30.53825126,-91.09560315
48005,Angelina,,TX,US,31.2547741,-94.61185398
48061,Cameron,,TX,US,26.1334522,-97.51799288
48067,Cass,,TX,US,33.07753587,-94.34354434
48219,Hockley,,TX,US,33.60762985,-102.3431891
48293,Limestone,,TX,US,31.5454568,-96.58050712
48449,Titus,,TX,US,33.21658117,-94.96568536
5139,Union,,AR,US,33.17130192,-92.59726944
22097,St. Landry,,LA,US,30.59884607,-92.00586173
48013,Atascosa,,TX,US,28.8935092,-98.52715241
48169,Garza,,TX,US,33.17986645,-101.2984568
48277,Lamar,,TX,US,33.66725053,-95.57119722
48377,Presidio,,TX,US,29.99975851,-104.2405136
48399,Runnels,,TX,US,31.83111829,-99.97619278
48429,Stephens,,TX,US,32.73587163,-98.83618396
48473,Waller,,TX,US,30.0108084,-95.98765023
48501,Yoakum,,TX,US,33.17299442,-102.827783
5059,Hot Spring,,AR,US,34.31762874,-92.94594016
40143,Tulsa,,OK,US,36.12108603,-95.94146841
48187,Guadalupe,,TX,US,29.5830584,-97.94858615
48343,Morris,,TX,US,33.11346808,-94.73263732
22027,Claiborne,,LA,US,32.82263508,-92.99575993
